Job Title,Company,Location,Education,Experience,Deadline
Security Guard,A Reputed Company,বাংলাদেশের যেকোনো স্থানে,"Na
                                                        






 Deadline: 

31 Aug 2023",null,Na
"Manager - HR & Admin, BOGCL",Bashundhara Group,Keraniganj,"MBA from any reputed university (IBA, Dhaka University, BUP, BRAC University and NSU are ...",At least 8 year(s),"
1 Sep 2023"
সিকিউরিটি গার্ড (মেট্রোরেল),Zihad Security Service,বাংলাদেশের যেকোনো স্থানে,"শিক্ষাগত যোগ্যতার সার্টিফিকেট এর ফটোকপি।  
চেয়ারম্যান সার্টিফিকেট এর ফটোকপি । 
জন্ম সনদ / NID ...",Na,"
1 Sep 2023"
Physiotherapist / Physiotherapist Assistant (Urgent Recruitment),DHANMONDI GENERAL AND KIDNEY HOSPITAL LTD.,PanthaPath,BSc in Physiotherapy from any recognized universityDiploma in helth Technology (Physiotherapy),1 to 3 year(s),31 Aug 2023
Officer/ Jr. Officer - Customs Bond,Bay Group,Savar,"Minimum Graduation. 
Masters will get and any other Professional Qualification will be given ...",2 to 3 year(s),"
1 Sep 2023"
Finance Officer,Friends in Village Development Bangladesh (FIVDB),Ukhia,"Master of Commerce (MCom) in Accounting, Finance Management or any relevant subjectBachelor of ...",At least 4 year(s),"
1 Sep 2023"
Technical Coordinator - Myanmar Curriculum,Friends in Village Development Bangladesh (FIVDB),Ukhia,"Master of Education (M.Ed)Masters level qualification in Education, Social Science or any relevant ...",At least 5 year(s),"
1 Sep 2023"
Technical Coordinator - Adolescent & Youth Education,Friends in Village Development Bangladesh (FIVDB),Ukhia,"Master of Education (M.Ed)Masters level qualification in Education, Social Science or any relevant ...",At least 5 year(s),"
1 Sep 2023"
Project Coordinator,Friends in Village Development Bangladesh (FIVDB),Ukhia,"Master of Education (M.Ed)Masters level qualification in Education, Social Science or any relevant ...",At least 7 year(s),"
1 Sep 2023"
MS Office Trainer,A Leading Private University in Chattogram,Chattogram,"Bachelor`s Degree in any field
The applicant must be a certified Microsoft Office Specialist",At least 1 year(s),31 Aug 2023
কম্পিউটার অপারেটর কাম অফিস সহকারী (ফ্যাক্টরী),আকিজ বিড়ি ফ্যাক্টরী লিমিটেড,বাংলাদেশের যেকোনো স্থানে,"Na
                                                        






 Deadline: 

31 Aug 2023",Na,31 Aug 2023
BSFP - Register (PLW),Eco-Social Development Organization (ESDO),Teknaf,"1 to 2 year(s)
                                                        






 Deadline: 

31 Aug 2023",1 to 2 year(s),31 Aug 2023
Lecturer - Department of Textile Engineering,University of South Asia,Amin Bazar,"Na
                                                        






 Deadline: 

31 Aug 2023",Na,31 Aug 2023
Deputy Head of Operation,SS POWER I LTD,Banshkhali,"10 to 12 year(s)
                                                        






 Deadline: 

31 Aug 2023",10 to 12 year(s),31 Aug 2023
Deputy Head of Maintenance,SS POWER I LTD,Banshkhali,"10 to 12 year(s)
                                                        






 Deadline: 

31 Aug 2023",10 to 12 year(s),31 Aug 2023
HSE Engineer/Officer,SS POWER I LTD,Banshkhali,"4 to 5 year(s)
                                                        






 Deadline: 

31 Aug 2023",4 to 5 year(s),31 Aug 2023
I&C Engineer,SS POWER I LTD,Banshkhali,"5 to 8 year(s)
                                                        






 Deadline: 

31 Aug 2023",5 to 8 year(s),31 Aug 2023
I&C Information Engineer- IT,SS POWER I LTD,Banshkhali,"5 to 8 year(s)
                                                        






 Deadline: 

31 Aug 2023",5 to 8 year(s),31 Aug 2023
Editor,Surjer Hashi Network,Banani,"3 to 5 year(s)
                                                        






 Deadline: 

31 Aug 2023",3 to 5 year(s),31 Aug 2023
Officer/Senior Officer - HR (Contractual),Intertek Bangladesh,Dhaka,Bachelor of Business Administration (BBA) with specialization in Human Resource Management (HRM),1 to 4 year(s),"
1 Sep 2023"
Manager - Survey (Oil Side),Meghna Group of Industries.,Narayanganj,Bachelor in any discipline,At least 7 year(s),"
1 Sep 2023"
Area Sales Manager (Hygiene Products),Meghna Group of Industries.,Anywhere in Bangladesh,Masters in any discipline.,At least 7 year(s),31 Aug 2023
Admin Manager,Bijoy Rakeen City Apartment Owners’ Co-operative Society Ltd.,Anywhere in Bangladesh,Bachelor of Arts (BA)Bachelor of Commerce (BCom)Masters degree in any discipline,At least 10 year(s),31 Aug 2023
Office Executive,MIR TRADING COMPANY,Dhaka,Bachelor degree in any discipline,0 to 4 year(s),31 Aug 2023
Project Manager,NOWZUWAN (NGO),Cox's Bazar,Master`s degree in any discipline preferably in Management/ Social Science/ Development Studies,At least 6 year(s),31 Aug 2023
Front Desk Receptionist,Rahimafrooz Storage Power Business,Tejgaon,Bachelor degree in any discipline,1 to 2 year(s),31 Aug 2023
"Asst. Officer/ Officer, HR",A reputed FMCG Company,Dhaka,Master of Business Administration (MBA) in Human Resource Management,At most 3 year(s),31 Aug 2023
"Executive, Sales (2 Wheeler)",TVS Auto Bangladesh Ltd.,Anywhere in Bangladesh,Bachelor degree in any discipline,1 to 4 year(s),31 Aug 2023
Online/Digital Marketing Executive,MerinaSoft,Arambag,Diploma in EngineeringBachelor degree in any discipline,At least 2 year(s),"
1 Sep 2023"
Senior Manager - Planning,Confidence Group.,Dhaka,B.Sc in Civil Engineering from any reputed university,10 to 14 year(s),31 Aug 2023
"Regional Manager, Sales (2 Wheeler)",TVS Auto Bangladesh Ltd.,Anywhere in Bangladesh,Bachelor degree in any discipline,6 to 10 year(s),31 Aug 2023
Area Sales Manager,Cosmo Multi Products Ind.,"Brahmanbaria, Chandpur, Cumilla, Noakhali","At least 5 year(s)
                                                        






 Deadline: 

31 Aug 2023",null,t 5 year(s)
অফিস সহকারী,SONEAR Laboratories,মতিঝিল,"At least 3 year(s)
                                                        






 Deadline: 

31 Aug 2023",At least 3 year(s),31 Aug 2023
ডেল্টা হাসপাতাল লিমিটেড,মিরপুর ১,ফার্মাসিষ্ট (ক্যাটাগরি-বি) ডিগ্রীধারী/ ডিপ্লোমা হতে হবে।,At least 2 year(s),null,t 2 year(s)
A well Renowned Food Manufacturing & Sales Company,Gazipur,B.Sc / Graduate Degree in Bio-Chemistry/Chemistry/Applied Chemistry/Chemical Engineering/ Relevant ...,3 to 4 year(s),null,o 4 year(s)
Sr. Executive/ Asst. Manager - IT,JUBILANT FOODWORKS BANGLADESH LIMITED(Domino`s Pizza Bangladesh),Anywhere in Bangladesh,"At least 4 year(s)
                                                        






 Deadline: 

31 Aug 2023",At least 4 year(s),31 Aug 2023
Cost Analyst,Advanced Chemical Industries Limited (ACI),Dhaka,"2 to 3 year(s)
                                                        






 Deadline: 

31 Aug 2023",2 to 3 year(s),31 Aug 2023
Sr. Credit Executive/Credit Executive,Advanced Chemical Industries Limited (ACI),Dhaka,"Na
                                                        






 Deadline: 

31 Aug 2023",Na,31 Aug 2023
A well Renowned Food Manufacturing & Sales Company,Gazipur,Master`s degree in any discipline.,At least 7 year(s),null,t 7 year(s)
Treasury Manager,Runner Group,Dhaka,Master of Business Administration (MBA) in Finance & Banking,At least 2 year(s),31 Aug 2023
"Assistant General Manager - Accounts, Sector - B",Bashundhara Group,Dhaka,"Qualified Chartered Accountant (ACA)Hold a Master`s degree, preferably in Accounting/Business ...",At least 7 year(s),"
1 Sep 2023"
Service Bundling Senior Manager,Banglalink,Dhaka,"• B.Sc. Engineer or BBA from a reputed university, MBA is preferred",8 to 10 year(s),31 Aug 2023
"Sr. Executive/ Executive-Store, Meghna Ceramic Industries Limited",Meghna Group of Industries.,Narayanganj,Masters from commerce discipline.,At least 3 year(s),31 Aug 2023
Executive: Media Relations,East Delta University,Chattogram,"Bachelor`s/Master`s degree in  public relations, communication, journalism, or relevant fields with ...",At least 2 year(s),31 Aug 2023
MANAGER (FINISHING),Pacific Attires Limited (a concern of Pacific Jeans Group),Chattogram,HSC,At least 12 year(s),31 Aug 2023
Hotel Boy,Modina Trading Corporation,Anywhere in Bangladesh,HSC,0 to 2 year(s),31 Aug 2023
"AGM/DGM (Admin, HR & Compliance)",AUKO-TEX GROUP,Dhaka,Bachelor degree in any disciplinePost Graduate Diploma (PGD) in HRM,At least 12 year(s),"
1 Sep 2023"
"Officer, Logistics",Modina Trading Corporation,Anywhere in Bangladesh,Bachelor degree in any discipline,Na,31 Aug 2023
Waiter/Waitress,An International Orientated Club,Dhaka,"Na
                                                        






 Deadline: 

31 Aug 2023",null,Na
Senior Executive,Supreme Study Abroad,Anywhere in Bangladesh,Bachelor degree in any discipline,2 to 3 year(s),31 Aug 2023
Young Professional - HR&OD,Plan International Bangladesh,Anywhere in Bangladesh,Na,null,Na
Young Professional -Research (Quantitative & Qualitative stream),Plan International Bangladesh,Anywhere in Bangladesh,Na,null,Na
Young Professional - Systems and Operations,Plan International Bangladesh,Anywhere in Bangladesh,Na,null,Na
Young Professional - Influencing,Plan International Bangladesh,Anywhere in Bangladesh,Na,null,Na
অপারেশন অ্যাসিস্ট্যান্ট  (পুরুষ) জরুরী ভিত্তিতে - দক্ষিনখান,Delivery Tiger,দক্ষিণখান,Na,null,Na
Senior Government Liaison Officer,CARE Bangladesh,Cox's Bazar,"7 to 10 year(s)
                                                        






 Deadline: 

31 Aug 2023",7 to 10 year(s),31 Aug 2023
