Job Title,Company,Location,Education,Experience,Deadline
Relationship Officer (Card Division),A renowned Private Commercial Bank,Anywhere in Bangladesh,Bachelor degree in any disciplineNo 3rd division (below 2.50) is allowed.Candidate must be from a ...,Na,"
5 Sep 2023"
Executive - Tele Credit,Air Alliance Ltd./ UPS,GULSHAN 2,Bachelor degree in any discipline,0 to 2 year(s),"
5 Sep 2023"
"Executive, Front Desk (Operations)",Papyrus Communications Ltd.,GULSHAN 1,Bachelor degree in any disciplineAny reputed Public or Private Institution,At least 1 year(s),"
4 Sep 2023"
Management  Assistant,Wace Commercial Co. Ltd.,Gulshan,Bachelor Degree in Commerce/Management/Arts/ other disciplines from a recognized University.,Na,"
5 Sep 2023"
প্রভাষক - পদার্থবিজ্ঞান,Imperial College Moulvibazar,মৌলভীবাজার,সংশ্লিষ্ট বিষয়ে অনার্স/মাস্টার্স ডিগ্রি।,Na,"
5 Sep 2023"
Deputy Manager/ Manager- Digital Academy,DBL GROUP,GULSHAN 1,Master of Business Administration (MBA) in Marketing,At least 10 year(s),"
5 Sep 2023"
অফিস সহকারি,Haque BD,ফরিদপুর,ডিপ্লোমা,0 to 1 year(s),"
5 Sep 2023"
Electrician - IsDB,Friendship,Anywhere in Bangladesh,"Minimum SSC
Electrical Technician Certificate or equivalent  from a recognized training ...",2 to 3 year(s),"
5 Sep 2023"
Counselor (Whykong),Bandhu Social Welfare Society,Cox's Bazar,Bachelor of Social Science (BSS) in Psychology,0 to 1 year(s),"
5 Sep 2023"
Nutrition Manager/ Specialist,Friendship,Anywhere in Bangladesh,"Bachelor`s or master`s degree in nutrition, Public Health, or a related field from any recognized ...",At least 5 year(s),"
5 Sep 2023"
Head of Finance & Accounts,A Prominent organization,Banani,Bachelor degree in any disciplineACA/FCA is preferred,At least 10 year(s),"
5 Sep 2023"
Medical Information Officer,Aristopharma Ltd.,Anywhere in Bangladesh,"Na
                                                        






 Deadline: 

5 Sep 2023",Na,"
5 Sep 2023"
Psychologist Supervisor -  SMHPSS Project,World Vision Bangladesh,Debhata,"At least 3 year(s)
                                                        






 Deadline: 

5 Sep 2023",At least 3 year(s),"
5 Sep 2023"
Project Coordinator - SMHPSS Project,World Vision Bangladesh,Morrelganj,"At least 3 year(s)
                                                        






 Deadline: 

5 Sep 2023",At least 3 year(s),"
5 Sep 2023"
Senior Technician Mould Operation,BSRM Group of Companies,Anywhere in Bangladesh,"5 to 7 year(s)
                                                        






 Deadline: 

4 Sep 2023",5 to 7 year(s),"
4 Sep 2023"
Senior Technician Billet Cutting,BSRM Group of Companies,Anywhere in Bangladesh,"5 to 7 year(s)
                                                        






 Deadline: 

4 Sep 2023",5 to 7 year(s),"
4 Sep 2023"
GM / Head of Projects,LafargeHolcim Bangladesh Limited (LHB),Sunamganj,"At least 20 year(s)
                                                        






 Deadline: 

5 Sep 2023",At least 20 year(s),"
5 Sep 2023"
"AGM/Senior Manager, Finance & Accounts",Labaid Pharmaceuticals Limited,GULSHAN 1,"At least 15 year(s)
                                                        






 Deadline: 

5 Sep 2023",At least 15 year(s),"
5 Sep 2023"
Coordinator - Finance and Administration (Start fund Bangladesh),Save the Children,Dhaka,"At least 5 year(s)
                                                        






 Deadline: 

4 Sep 2023",At least 5 year(s),"
4 Sep 2023"
Communications and Admin Officer,SAKAIMEX LTD,Dhaka,"At least 2 year(s)
                                                        






 Deadline: 

5 Sep 2023",At least 2 year(s),"
5 Sep 2023"
"Executive/ Assistant Executive, (Microbiology) Quality Assurance",NIPRO JMI Company Ltd. (a sister concern of JMI Group),Gazaria,"M.Sc in Microbiology/Geology/Biology/Botany.
B.Sc in Microbiology/Geology/Biology/Botany",0 to 2 year(s),"
5 Sep 2023"
Driver,Radisson Blu Dhaka Water Garden,Anywhere in Bangladesh,SSC,At least 5 year(s),"
5 Sep 2023"
"অপারেটর/সিনিয়র অপারেটর (WTP), Grade-1",Bashundhara Group,সোনারগাঁও,"At least 3 year(s)
                                                        






 Deadline: 

5 Sep 2023",null,t 3 year(s)
"Lecturer, Department of English",East Delta University,Chattogram,4 years (Hons.) and Master`s degree/ 3 years (Hons.) and Master`s degree in concerned ...,Na,"
5 Sep 2023"
Officer/ Sr. Officer- Finance,TALHA GROUP (A strategic alliance with Noman Group),Motijheel,Masters/MBA in Finance.,At least 4 year(s),"
5 Sep 2023"
"Senior Executive/ Assistant Manager, Export (India)",National Fittings & Accessories Ltd.,India,Masters degree in any discipline,2 to 3 year(s),"
5 Sep 2023"
